S.No,X,Y,Amplitude,Time Stamp
0,1000,400,0,
1,-104,374,133,
2,-98,377,116,
3,-92,380,101,
4,-86,380,100,
5,-80,381,99,
6,-74,384,83,
7,-68,384,84,
8,-62,387,67,
9,-56,383,85,
10,-50,237,818,
11,-44,277,616,
12,-38,364,182,
13,-32,377,117,
14,-26,384,82,
15,-20,384,84,
16,-14,387,67,
17,-8,384,83,
18,-2,384,83,
19,4,384,83,
20,10,387,66,
21,16,230,850,
22,22,270,651,
23,28,381,99,
24,34,384,84,
25,40,384,83,
26,46,384,83,
27,52,387,67,
28,58,387,66,
29,64,387,66,
30,70,383,85,
31,76,384,83,
32,82,384,84,
33,88,380,100,
34,94,267,666,
35,100,247,767,
36,106,271,649,
37,112,250,751,
38,118,266,670,
39,124,287,567,
40,130,317,416,
41,136,354,233,
42,142,370,151,
43,148,374,133,
44,154,381,99,
45,160,384,83,
46,166,383,85,
47,172,297,517,
48,178,344,283,
49,184,377,117,
50,190,377,118,
51,196,380,100,
52,202,217,917,
53,208,400,0,
54,220,400,0,20h52m10s 15D8M2016Y
55,232,254,733,
56,238,307,469,
57,244,317,417,
58,250,379,106,
59,256,387,68,
60,262,383,85,
61,268,386,71,
62,274,386,72,
63,280,386,70,
64,286,387,67,
65,292,387,66,
66,298,247,767,
67,304,290,551,
68,310,320,400,
69,316,314,433,
70,322,310,450,
71,328,317,417,
72,334,307,466,
73,340,310,450,
74,346,314,434,
75,352,324,384,
76,358,377,118,
77,364,377,116,
78,370,364,183,
79,376,370,151,
80,382,320,400,
81,388,317,418,
82,394,351,249,
83,400,364,184,
84,406,360,200,
85,412,354,233,
86,418,377,117,
87,424,153,1237,
88,430,117,1418,
89,436,157,1216,
90,442,377,117,
91,448,380,100,
92,454,377,117,
93,460,379,106,
94,466,227,868,
95,472,207,966,
96,478,274,634,
97,484,384,83,
98,490,384,83,
99,496,380,100,
100,502,287,567,
101,508,319,405,
102,514,377,117,
103,520,384,84,
104,526,380,100,
105,532,384,83,
106,538,384,83,
107,544,387,67,
108,550,387,66,
109,556,387,67,
110,562,164,1184,
111,568,177,1117,
112,574,297,517,
113,580,380,101,
114,586,387,67,
115,592,390,52,
116,598,387,66,
117,604,387,66,
118,610,400,0,
119,622,400,0,20h52m44s 15D8M2016Y
120,634,380,100,
121,640,380,100,
122,646,380,101,
123,652,380,100,
124,658,384,83,
125,664,387,66,
126,670,238,814,
127,676,182,1092,
128,682,177,1116,
129,688,360,203,
130,694,380,100,
131,700,384,83,
132,706,391,49,
133,712,227,867,
134,718,227,867,
135,724,190,1051,
136,730,380,100,
137,736,384,82,
138,742,387,67,
139,748,390,50,
140,754,224,884,
141,760,370,151,
142,766,381,99,
143,772,390,50,
144,778,387,67,
145,784,270,650,
146,790,384,83,
147,796,387,67,
148,802,384,83,
149,808,387,68,
150,814,387,67,
151,820,377,117,
152,826,380,101,
153,832,297,517,
154,838,324,383,
155,844,360,201,
156,850,374,134,
157,856,380,101,
158,862,400,0,
159,874,400,0,20h53m9s 15D8M2016Y
160,886,380,101,
161,892,380,100,
162,898,381,97,
163,904,382,90,
164,910,381,98,
165,916,380,100,
166,922,384,83,
167,928,383,85,
168,934,387,68,
169,940,247,767,
170,946,259,709,
171,952,376,120,
172,958,380,100,
173,964,384,83,
174,970,270,650,
175,976,400,0,
176,988,400,0,20h53m21s 15D8M2016Y
