S.No,X,Y,Amplitude,Time Stamp
0,1000,400,0,
1,-182,384,83,
2,-176,281,597,
3,-170,390,50,
4,-164,298,512,
5,-158,285,579,
6,-152,391,49,
7,-146,279,605,
8,-140,241,795,
9,-134,321,397,
10,-128,301,498,
11,-122,328,360,
12,-116,314,432,
13,-110,337,319,
14,-104,311,446,
15,-98,343,286,
16,-92,311,445,
17,-86,347,269,
18,-80,312,444,
19,-74,353,239,
20,-68,315,427,
21,-62,350,251,
22,-56,319,408,
23,-50,360,204,
24,-44,310,453,
25,-38,335,328,
26,-32,400,0,
27,-20,400,0,0h50m17s 16D8M2016Y
28,-8,372,141,
29,-2,329,359,
30,4,369,157,
31,10,316,421,
32,16,328,360,
33,22,316,422,
34,28,325,375,
35,34,319,406,
36,40,322,391,
37,46,319,407,
38,52,316,422,
39,58,313,438,
40,64,322,391,
41,70,313,437,
42,76,322,390,
43,82,306,471,
44,88,319,408,
45,94,313,439,
46,100,320,404,
47,106,313,437,
48,112,316,422,
49,118,310,453,
50,124,319,407,
51,130,313,437,
52,136,316,422,
53,142,310,453,
54,148,313,438,
55,154,313,437,
56,160,310,453,
57,166,304,484,
58,172,316,422,
59,178,310,453,
60,184,313,437,
61,190,316,422,
62,196,313,438,
63,202,313,438,
64,208,322,390,
65,214,322,391,
66,220,325,375,
67,226,319,406,
68,232,325,375,
69,238,332,344,
70,244,335,328,
71,250,319,406,
72,256,366,172,
73,262,350,250,
74,268,366,172,
75,274,329,359,
76,280,329,359,
77,286,335,328,
78,292,338,312,
79,298,328,360,
80,304,319,407,
81,310,341,296,
82,316,360,203,
83,322,354,234,
84,328,338,313,
85,334,360,203,
86,340,338,312,
87,346,353,235,
88,352,338,313,
89,358,357,218,
90,364,344,282,
91,370,354,234,
92,376,344,281,
93,382,350,250,
94,388,344,281,
95,394,347,266,
96,400,341,296,
97,406,354,234,
98,412,332,344,
99,418,153,1235,
100,424,335,328,
101,430,344,281,
102,436,344,281,
103,442,366,172,
104,448,338,312,
105,454,354,234,
106,460,329,359,
107,466,322,391,
108,472,319,407,
109,478,319,406,
110,484,310,453,
111,490,275,625,
112,496,319,406,
113,502,307,469,
114,508,325,375,
115,514,294,532,
116,520,303,485,
117,526,297,516,
118,532,322,390,
119,538,300,500,
120,544,322,391,
121,550,310,453,
122,556,322,391,
123,562,307,469,
124,568,329,359,
125,574,300,500,
126,580,332,344,
127,586,319,406,
128,592,325,375,
129,598,350,250,
130,604,382,94,
131,610,400,0,
132,622,400,0,0h51m21s 16D8M2016Y
133,634,304,484,
134,640,297,516,
135,646,310,454,
136,652,322,391,
137,652,316,422,
138,658,282,594,
139,664,297,516,
140,670,300,500,
141,676,310,453,
142,682,197,1016,
143,688,300,500,
144,694,328,360,
145,700,288,562,
146,706,316,422,
147,712,285,579,
148,718,310,453,
149,724,291,547,
150,730,310,454,
151,736,210,954,
152,742,310,453,
153,748,310,453,
154,754,307,469,
155,760,316,422,
156,766,307,468,
157,772,313,437,
158,778,307,469,
159,784,313,438,
160,790,307,469,
161,796,319,406,
162,802,313,437,
163,808,319,406,
164,814,313,437,
165,820,316,422,
166,826,310,453,
167,832,222,890,
168,838,329,359,
169,844,304,484,
170,850,341,297,
171,856,307,469,
172,862,357,218,
173,868,291,547,
174,874,325,375,
175,880,325,375,
176,886,366,171,
177,892,400,0,
178,904,400,0,0h51m51s 16D8M2016Y
179,916,297,516,
180,922,350,250,
181,928,332,344,
182,934,335,328,
183,940,316,422,
184,946,335,329,
185,952,310,453,
186,958,325,375,
187,964,300,500,
188,970,325,375,
189,976,379,109,
190,982,297,515,
191,988,291,547,
192,994,297,515,0h52m4s 16D8M2016Y
